RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
hsa_circ_0006309,circRNA,Homo sapiens,ARPE-19 cells,Nucleus,0.694505649698505
hsa_circ_0110634,circRNA,Homo sapiens,ASMSCs and HDMSCs,Cytoplasm,0.836757224078988
hsa_circ_0110634,circRNA,Homo sapiens,ASMSCs and HDMSCs,Extracellular exosome,0.694505649698505
hsa_circ_0036176,circRNA,Homo sapiens,Atrial Fibroblasts (HAFs),Cytoplasm,0.694505649698505
circ-POKE,circRNA,Homo sapiens,BC cell line MDA-MB-231 and HCC1806,Cytoplasm,0.836757224078988
circ-POKE,circRNA,Homo sapiens,BC cell line MDA-MB-231 and HCC1806,Nucleus,0.836757224078988
hsa_circ_0004812,circRNA,Homo sapiens,BC cell lines,Cytoplasm,0.836757224078988
hsa_circ_0007990,circRNA,Homo sapiens,BC cell lines (MCF-7 and MDA-MB-231),Nucleus,0.836757224078988
hsa_circ_0000629,circRNA,Homo sapiens,BC cell lines (T24 and SW780),Cytoplasm,0.836757224078988
hsa_circ_0001142,circRNA,Homo sapiens,BC cells,Cytoplasm,0.932913100536013
hsa_circ_0000003,circRNA,Homo sapiens,BC cells,Cytoplasm,0.694505649698505
hsa_circ_0000003,circRNA,Homo sapiens,BC cells,Nucleus,0.694505649698505
hsa_circ_0006594,circRNA,Homo sapiens,BC cells,Nucleus,0.932913100536013
hsa_circ_0000511,circRNA,Homo sapiens,BC cells,Cytoplasm,0.943641791621929
hsa_circ_0000851,circRNA,Homo sapiens,BC cells (MDA-MB-231 and BT-549),Cytoplasm,0.836757224078988
hsa_circ_0047317,circRNA,Homo sapiens,BC cells (SW780 and T24 cells),Cytoplasm,0.836757224078988
hsa_circ_0006950,circRNA,Homo sapiens,BCa cell,Cytoplasm,0.694505649698505
hsa_circ_0001633,circRNA,Homo sapiens,BCa cells,Cytoplasm,0.932913100536013
hsa_circ_0058040,circRNA,Homo sapiens,BEAS-2B cells,Cytoplasm,0.694505649698505
hsa_circ_0035266,circRNA,Homo sapiens,BEAS-2B cells,Cytoplasm,0.836757224078988
hsa_circ_0038467,circRNA,Homo sapiens,BEAS-2B cells,Cytoplasm,0.836757224078988
hsa_circ_0002331,circRNA,Homo sapiens,"BEAS-2B, A549 and PC9 cells",Extracellular exosome,0.694505649698505
hsa_circ_0005397,circRNA,Homo sapiens,BEL-7404 cells,Cytoplasm,0.836757224078988
mmu_circ_0001052,circRNA,Mus musculus,bEnd.3 cells,Cytoplasm,0.932913100536013
mmu_circ_0000130,circRNA,Mus musculus,bEnd3 cells,Cytoplasm,0.694505649698505
hsa_circ_0007255,circRNA,Homo sapiens,BGC-823 and SGC-7901 cells,Cytoplasm,0.694505649698505
hsa_circ_0000088,circRNA,Homo sapiens,BGC823 cells,Cytoplasm,0.694505649698505
hsa_circ_0030586,circRNA,Homo sapiens,Bladder cancer (BCa) cells,Cytoplasm,0.836757224078988
hsa_circ_0006332,circRNA,Homo sapiens,Bladder cancer cell lines (T24|UM-UC-3),Cytoplasm,0.904945420481312
hsa_circ_0001583,circRNA,Homo sapiens,bladder cancer cells T24 and 5637,Cytoplasm,0.836757224078988
hsa_circ_0002590,circRNA,Homo sapiens,"bladder transitional cell carcinoma cell lines (UM-UC-3, T24)",Cytoplasm,0.694505649698505
hsa_circ_0013936,circRNA,Homo sapiens,bladder tumor cell,Cytoplasm,0.694505649698505
circ-SED3,circRNA,Homo sapiens,BLCA cell lines (T24 and UMUC3),Cytoplasm,0.694505649698505
hsa_circ_0023676,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0064831,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0010926,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0054872,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0006558,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.795006069178413
hsa_circ_0009127,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0003793,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0000965,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0087856,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0004863,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0083895,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0072647,circRNA,Homo sapiens,blood,Extracellular exosome,0.795006069178413
hsa_circ_0051940,circRNA,Homo sapiens,blood,Extracellular exosome,0.795006069178413
hsa_circ_0090577,circRNA,Homo sapiens,blood,Extracellular exosome,0.795006069178413
hsa_circ_0078460,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
