RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
CARMN,lncRNA,Homo sapiens,brain tissue,Nucleus,0.969295483520611
LINC00964,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
GMDS-DT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
HULC,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
MIR124-1HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC01030,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC01933,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
MIR124-2HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
MIR9-3HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.90145991609349
PWAR6,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
LINC00609,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
DIO3OS,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
LINC00930,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
VESTAR,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
PPP1R13B-DT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.890460238360382
MIR381HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00639,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00562,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC02182,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00663,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC00907,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
FENDRR,lncRNA,Homo sapiens,brain tissue,Nucleus,0.965979856988692
LINC00664,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
NAMA,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
CASC15,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
DGCR5,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
SNHG12,lncRNA,Homo sapiens,non-small cell lung cancer tissue,Cytoplasm,0.968399985635632
LINC00632,lncRNA,Homo sapiens,glioblastoma cell,Cytoplasm,0.962182309891882
NEAT1,lncRNA,Homo sapiens,induced pluripotent stem cell derived retinal pigmented epithelium (iPSC-RPE) cells,Nucleus,0.969808356669669
SNHG16,lncRNA,Homo sapiens,induced pluripotent stem cell derived retinal pigmented epithelium (iPSC-RPE) cells,Cytoplasm,0.968399985635632
MTND1P23,lncRNA,Homo sapiens,induced pluripotent stem cell derived retinal pigmented epithelium (iPSC-RPE) cells,Nucleus,0.795006069178413
MTND1P23,lncRNA,Homo sapiens,induced pluripotent stem cell derived retinal pigmented epithelium (iPSC-RPE) cells,Cytoplasm,0.795006069178413
OIP5-AS1,lncRNA,Homo sapiens,neuroblastoma SH-SY5Y cells,Cytoplasm,0.954983104551089
GAS5,lncRNA,Homo sapiens,HepG2 cells,Cytoplasm,0.966370157375562
LINC00963,lncRNA,Homo sapiens,glioma cell line U87 and U251 cell,Nucleus,0.815590988686444
LINC00958,lncRNA,Homo sapiens,osteosarcoma tissues and cell lines,Cytoplasm,0.943641791621929
LINC01419,lncRNA,Homo sapiens,human HCC cell lines Huh7 and Hep3B cells,Cytoplasm,0.694505649698505
ADAMTS9-AS1,lncRNA,Homo sapiens,HOCM-induced cardiomyocyte hypertrophy,Cytoplasm,0.795006069178413
GATA2-AS1,lncRNA,Homo sapiens,ESCC cell line YES-2 and Kyse170 cells,Nucleus,0.815590988686444
DLGAP1-AS2,lncRNA,Homo sapiens,normal intestinal mucosal cells (NCM460 and FHC),Cytoplasm,0.836757224078988
DLGAP1-AS2,lncRNA,Homo sapiens,"colorectal cancer (CRC) cells (HCT116, HT29, and DLD1)",Nucleus,0.890460238360382
CCAT1,lncRNA,Homo sapiens,human LSCC cells Hep-2 and TU177,Cytoplasm,0.947651008001197
FMR6,lncRNA,Homo sapiens,"KGN cells (human ovarian granulosa cells, GCs)",Cytoplasm,0.694505649698505
FMR6,lncRNA,Homo sapiens,"KGN cells (human ovarian granulosa cells, GCs)",Nucleus,0.694505649698505
OIP5-AS1,lncRNA,Homo sapiens,TMZ-resistant cell lines SHG44TR and U251TR cells,Cytoplasm,0.954983104551089
PRR34-AS1,lncRNA,Homo sapiens,HCC cell lines SNU-182 and SK-HEP-1 cells,Cytoplasm,0.932913100536013
ALOX12-AS1,lncRNA,Homo sapiens,"A431, HEK293, EA.hy926, HepG2 and THP-1 cells",Nucleus,0.795006069178413
ALOX12-AS1,lncRNA,Homo sapiens,EA.hy.926 cells,Cytosol,0.795006069178413
ALOX12-AS1,lncRNA,Homo sapiens,A431 and HEK293 cells,Nucleolus,0.795006069178413
SPRR2C,lncRNA,Homo sapiens,M5-induced psoriatic keratinocytes,Cytoplasm,0.836757224078988
OTUD6B-AS1,lncRNA,Homo sapiens,radioresistant cells,Cytoplasm,0.795006069178413
H19,lncRNA,Homo sapiens,keloid tissues,Cytoplasm,0.969625624620478
XIST,lncRNA,Homo sapiens,CD4+ T cells,Nucleus,0.970938422441613
